address,developer,units,acerage,price_sale,price_loan,loan_financer,category,description,story_link,story_attribution
"888 Brickell Avenue, Miami FL","JDS Development Group, Major Food Group",259,,na,na,na,proposed,"<a href=""https://therealdeal.com/miami/2022/05/25/jds-major-food-group-to-launch-condo-sales-of-brickell-skyscraper/?utm_source=internal&utm_medium=article_aside&utm_campaign=trd_list_posts&utm_content=trending_now"">A 259-unit tower</a> with prices from $1.6M to $11M, excluding penthouses. The building will include a private club and food, beverage concepts operated by Major Food Group",https://therealdeal.com/miami/2022/05/25/jds-major-food-group-to-launch-condo-sales-of-brickell-skyscraper/?utm_source=internal&utm_medium=article_aside&utm_campaign=trd_list_posts&utm_content=trending_now,
"102 Southwest Eighth Street, Miami FL",PMG,803,,na,na,,proposed,"<a href=""https://therealdeal.com/miami/2022/04/20/pmg-proposes-pair-of-brickell-resi-towers-with-over-800-units/"">A 1.5 million-square-foot project</a> with a 31-story tower and 46-story tower on 1.2 acres. The towers would share a one-story lobby, 11-story garage and pool decks on the 13th and 31st floors.",https://therealdeal.com/miami/2022/04/20/pmg-proposes-pair-of-brickell-resi-towers-with-over-800-units/,
"609 Brickell Avenue, Miami FL",13th Floor Investments & Key International,,2.2,na,na,,proposed,"<a href=""https://therealdeal.com/miami/2022/02/28/brickell-church-sale-holdout-could-scuttle-240m-deal-with-13th-floor-key-international/"">A proposed 80-story condo tower</a> to be built on church property. The developer has yet to purchase the land - a parishioner opposes the deal and seeks to block its passage.",https://therealdeal.com/miami/2022/02/28/brickell-church-sale-holdout-could-scuttle-240m-deal-with-13th-floor-key-international/,
"90 Southwest Eighth Street, Miami, FL 33130",Gazit Globe Group,504,,29500000,na,,planned,"<a href=""https://therealdeal.com/miami/2022/02/18/gazit-globe-proposes-504-unit-apartment-tower-in-brickell/"">Gazit Globe’s U.S. subsidiary, Gazit Horizons,</a> wants to develop the 643-foot tall — or more than 50-story — Brickell Gateway tower on a half-acre lot steps from Metrorail and Metromover. Gazit Horizons bought the property in 2017 for $29.5 million.",https://therealdeal.com/miami/2022/02/18/gazit-globe-proposes-504-unit-apartment-tower-in-brickell/,
"1420 South Miami Avenue, Miami, FL 33130",Mast Capital,1250,,103000000,na,,planned,"<a href=""https://therealdeal.com/miami/2021/12/27/769192/"">An 80-story condo tower</a> with 400 units and two multifamily buildings. The apartment buildings would have 850 luxury units. Mast paid $103 million for the site in December.",https://therealdeal.com/miami/2021/12/27/769192/,
"99 Southwest Seventh Street, Miami, FL",Harvey Hernandez,,1.6,50500000,55000000,,planned,"<a href=""https://therealdeal.com/miami/2021/09/15/harvey-hernandez-plans-three-tower-project-on-riverfront-brickell-site/"">A 1.6-acre property</a> and planned site for a three-tower residential and marina project. One tower would have branded luxury apartments and the other two branded apartments. Hernandez paid $50.5 million for the site in September.",https://therealdeal.com/miami/2021/09/15/harvey-hernandez-plans-three-tower-project-on-riverfront-brickell-site/,
"175 Southeast 25th Road, Miami FL",OKO Group,135,,na,128300000,Bank OZK,under construction,"<a href=""https://therealdeal.com/miami/2021/04/20/billionaire-vlad-doronin-partner-score-128m-construction-loan-for-brickell-condo-tower/"">OKO Group is</a>OKO Group is led by billionaire Vlad Doronin, which broke ground on the project in 2020 and launched sales in 2018.",https://therealdeal.com/miami/2021/04/20/billionaire-vlad-doronin-partner-score-128m-construction-loan-for-brickell-condo-tower/,
"1 Southside Park, Miami FL",JDS Development Group (Michael Stern),1000,1.5,23500000,na,,under construction,"<a href=""https://therealdeal.com/miami/2021/04/09/michael-sterns-tower-site-deemed-brownfield-paving-way-for-tax-breaks/"">A 1.5-acre, ongoing construction project</a> for a 752-foot-tall tower. Last year, the Miami City Commission unanimously approved a resolution designating the site as a brownfield due to heightened levels of arsenic. The designation allowed the developer, Michael Stern, to pursue state tax credits and grants from the federal EPA. Part of the development agreement with the city includes building a fire department on the ground floor. Stern paid $23.5 million for the land in 2020.",https://therealdeal.com/miami/2021/04/09/michael-sterns-tower-site-deemed-brownfield-paving-way-for-tax-breaks/,
"444 Brickell Avenue, Miami FL","The Related Group, Baccarat",1400,4,104000000,na,,planned,"<a href=""https://therealdeal.com/miami/2021/02/04/related-to-partner-with-baccarat-on-major-brickell-high-rise-development/"">Plans for the 4-acre property</a> call for three branded Baccarat towers. A 57-story, 77-story, and 82-story tower, each with hotel, office and retail components. Related paid $104 million for the site in 2013.",https://therealdeal.com/miami/2021/02/04/related-to-partner-with-baccarat-on-major-brickell-high-rise-development/,
"1809 Brickell Avenue, Miami, FL",Related Group & Integra Investments,354,3,14000000,na,,planned,"<a href=""https://therealdeal.com/miami/2021/12/16/related-integra-plan-two-tower-st-regis-condo-development-in-miamis-brickell/"">A pair of St. Regis-branded</a> condo towers designed by Robert A.M. Stern Architects totaling 354-units. The Depart of Housing and Urban Development released the existing building from its affordable housing agreement last summer.",https://therealdeal.com/miami/2021/12/16/related-integra-plan-two-tower-st-regis-condo-development-in-miamis-brickell/,
